Country Code;Parent Code;Country;Region;Sub-Region;Population 2010;Estimate Population 2020
430;914;Liberia;SUB-SAHARAN AFRICA;Western Africa;3891357;5057677
434;912;Libya;NORTHERN AFRICA AND WESTERN ASIA;Northern Africa;6197667;6871287
438;926;Liechtenstein;EUROPE;Western Europe;35996;38137
440;924;Lithuania;EUROPE;Northern Europe;3123825;2722291
442;926;Luxembourg;EUROPE;Western Europe;507890;625976
450;910;Madagascar;SUB-SAHARAN AFRICA;Eastern Africa;21151640;27691019
454;910;Malawi;SUB-SAHARAN AFRICA;Eastern Africa;14539609;19129955
458;920;Malaysia;EASTERN AND SOUTH-EASTERN ASIA;South-Eastern Asia;28208028;32365998
462;5501;Maldives;CENTRAL AND SOUTHERN ASIA;Central Asia;365730;540542
466;914;Mali;SUB-SAHARAN AFRICA;Western Africa;15049352;20250834
470;925;Malta;EUROPE;Southern Europe;414257;441539
478;914;Mauritania;SUB-SAHARAN AFRICA;Western Africa;3494200;4649660
480;910;Mauritius;SUB-SAHARAN AFRICA;Eastern Africa;1247953;1271767
484;916;Mexico;LATIN AMERICA AND THE CARIBBEAN;Central America;114092961;128932753
498;923;Moldova;EUROPE;Eastern Europe;4086090;4033963
492;926;Monaco;EUROPE;Western Europe;35609;39244
496;906;Mongolia;EASTERN AND SOUTH-EASTERN ASIA;Eastern Asia;2719902;3278292
499;925;Montenegro;EUROPE;Southern Europe;624279;628062
504;912;Morocco;NORTHERN AFRICA AND WESTERN ASIA;Northern Africa;32343384;36910558
508;910;Mozambique;SUB-SAHARAN AFRICA;Eastern Africa;23531567;31255435
516;913;Namibia;SUB-SAHARAN AFRICA;Southern Africa;2118877;2540916
524;5501;Nepal;CENTRAL AND SOUTHERN ASIA;Central Asia;27013207;29136808
528;926;Netherlands;EUROPE;Western Europe;16682927;17134873
554;927;New Zealand;AUSTRALIA/NEW ZEALAND;AUSTRALIA/NEW ZEALAND;4370060;4822233
558;916;Nicaragua;LATIN AMERICA AND THE CARIBBEAN;Central America;5824058;6624554
562;914;Niger;SUB-SAHARAN AFRICA;Western Africa;16464025;24206636
566;914;Nigeria;SUB-SAHARAN AFRICA;Western Africa;158503203;206139587
807;925;North Macedonia;EUROPE;Southern Europe;2070737;2083380
578;924;Norway;EUROPE;Northern Europe;4885878;5421242
512;922;Oman;NORTHERN AFRICA AND WESTERN ASIA;Western Asia;3041435;5106622
586;5501;Pakistan;CENTRAL AND SOUTHERN ASIA;Central Asia;179424643;220892331
591;916;Panama;LATIN AMERICA AND THE CARIBBEAN;Central America;3642691;4314768
598;928;Papua New Guinea;OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND);Melanesia;7310512;8947027
600;931;Paraguay;LATIN AMERICA AND THE CARIBBEAN;South America;6248017;7132530
604;931;Peru;LATIN AMERICA AND THE CARIBBEAN;South America;29027680;32971846
608;920;Philippines;EASTERN AND SOUTH-EASTERN ASIA;South-Eastern Asia;93966784;109581085
616;923;Poland;EUROPE;Eastern Europe;38329784;37846605
620;925;Portugal;EUROPE;Southern Europe;10596055;10196707
634;922;Qatar;NORTHERN AFRICA AND WESTERN ASIA;Western Asia;1856329;2881060
642;923;Romania;EUROPE;Eastern Europe;20471860;19237682
643;923;Russia;EUROPE;Eastern Europe;143479273;145934460
646;910;Rwanda;SUB-SAHARAN AFRICA;Eastern Africa;10039338;12952209
